SourceText,text,type,note
Infants (0-1):,Infants (0-1):,text,
"• 0–6 months: Smile, babble and cry to attract your attention. We should provide care, cuddling and protection.","• 0–6 months: Smile, babble and cry to attract your attention. We should provide care, cuddling and protection.",text,
"• 6–11 months: Cling to you, especially when feeling insecure or frightened. ","• 6–11 months: Cling to you, especially when feeling insecure or frightened. ",text,
"• 12–23 months: Start to walk, talk and explore things around them!","• 12–23 months: Start to walk, talk and explore things around them!",text,
• Start speaking in sentences and  learning new words.,• Start speaking in sentences and  learning new words.,text,
"• Does not like to lose or take turns, but sharing can be taught.","• Does not like to lose or take turns, but sharing can be taught.",text,
• May express feelings in dramatic ways (like screaming on the floor!). Can start to learn how to manage their feelings.,• May express feelings in dramatic ways (like screaming on the floor!). Can start to learn how to manage their feelings.,text,
• May answer back to adults to show that they “know”.,• May answer back to adults to show that they “know”.,text,
• Can be very self-conscious and sensitive,• Can be very self-conscious and sensitive,text,
• Can learn to better manage anger and tolerate frustration.,• Can learn to better manage anger and tolerate frustration.,text,
Middle teenagers (13-14 years),Middle teenagers (13-14 years),text,
• Begin to challenge adult rules,• Begin to challenge adult rules,text,
• Are often insecure and confused.,• Are often insecure and confused.,text,
• Feelings get hurt easily and have mood swings,• Feelings get hurt easily and have mood swings,text,
• Try to be the boss and are unhappy if they lose.,• Try to be the boss and are unhappy if they lose.,text,
Young children (4-6 years):,Young children (4-6 years):,text,
"• Same as toddlers, but also...","• Same as toddlers, but also...",text,
• Learn through actions and play.,• Learn through actions and play.,text,
• Develop friendships with other children,• Develop friendships with other children,text,
• Find it difficult to separate make-believe from reality. Still express feelings in dramatic ways!,• Find it difficult to separate make-believe from reality. Still express feelings in dramatic ways!,text,
• Their friends are important and affect their choices,• Their friends are important and affect their choices,text,
• Need some freedom but also reliable rules that don't change,• Need some freedom but also reliable rules that don't change,text,
"• Need affection, reassurance, self-esteem, encouragement to believe in their abilities","• Need affection, reassurance, self-esteem, encouragement to believe in their abilities",text,
• May talk a lot; ask many questions. We should be honest when we reply! Our child may ask again if they don't understand or want to know more,• May talk a lot; ask many questions. We should be honest when we reply! Our child may ask again if they don't understand or want to know more,text,
"• Does not like to lose, share or take turns, but losing and taking turns can be taught.","• Does not like to lose, share or take turns, but losing and taking turns can be taught.",text,
Older teenagers (15–19 years),Older teenagers (15–19 years),text,
• The teen years are the second most active time of brain development!,• The teen years are the second most active time of brain development!,text,
"• Your child is almost an adult, they are able to communicate with you about","• Your child is almost an adult, they are able to communicate with you about",text,
almost anything.,almost anything.,text,
"• They can think about new ideas, develop their own ideals and set their","• They can think about new ideas, develop their own ideals and set their",text,
own course.,own course.,text,
Older children (7-9 years),Older children (7-9 years),text,
"• Same early childhood, but also…","• Same early childhood, but also…",text,
• Interested in learning at school.,• Interested in learning at school.,text,
• Starts to want independence and trust.,• Starts to want independence and trust.,text,
• Wants to spend time with other children.,• Wants to spend time with other children.,text,
• They are forming their own identity and have a growing sense of their,• They are forming their own identity and have a growing sense of their,text,
sexuality,sexuality,text,
• They may prefer being with peers more than with you,• They may prefer being with peers more than with you,text,
"• They may show risk-taking behaviours, frequent mood swings, and rebellious","• They may show risk-taking behaviours, frequent mood swings, and rebellious",text,
attitudes. They can also have exciting new ideas!,attitudes. They can also have exciting new ideas!,text,
• May start to ask questions about religion,• May start to ask questions about religion,text,
• Can be very self-conscious and sensitive. May be very active. By now they should be getting better at managing anger and frustration.,• Can be very self-conscious and sensitive. May be very active. By now they should be getting better at managing anger and frustration.,text,
The most important things that you can do for your teen in this stage are:,The most important things that you can do for your teen in this stage are:,text,
"• Continue providing love, support and guidance and build a strong","• Continue providing love, support and guidance and build a strong",text,
parent-child connection,parent-child connection,text,
"• Monitor who their friends are, have clear rules to keep them safe","• Monitor who their friends are, have clear rules to keep them safe",text,
• Nurture their independence,• Nurture their independence,text,
• Be patient and accepting of the person they are becoming - even if it is not what you had imagined,• Be patient and accepting of the person they are becoming - even if it is not what you had imagined,text,
• Encourage them to begin to take responsibility for the future,• Encourage them to begin to take responsibility for the future,text,
"• Keep supporting them and loving them so that they feel comfortable, secure, and safe","• Keep supporting them and loving them so that they feel comfortable, secure, and safe",text,
Well done for adding another tool to your Parenting Toolkit! Knowing about child development can help you feel less frustrated by them.,Well done for adding another tool to your Parenting Toolkit! Knowing about child development can help you feel less frustrated by them.,text,
"All children, including those living with disabilities, need love, respect and time especially at difficult times.","All children, including those living with disabilities, need love, respect and time especially at difficult times.",text,
Here are 6 simple tips that you can do to support children living with disabilities: ,Here are 6 simple tips that you can do to support children living with disabilities: ,text,
1. Keep your child safe and well,1. Keep your child safe and well,text,
2. Try to understand what they are feeling,2. Try to understand what they are feeling,text,
3. Communicate and talk with them,3. Communicate and talk with them,text,
4. Praise them!,4. Praise them!,text,
5. Make things that you do the same every day to help them feel secure,5. Make things that you do the same every day to help them feel secure,text,
6. Ask for help if you can,6. Ask for help if you can,text,
"Type ""1"" to ""6"" to learn more about each tip. Type ""N"" to stop this tip.","Type ""1"" to ""6"" to learn more about each tip. Type ""N"" to stop this tip.",text,
"That's okay! You can always type ""Help"" if you want to learn more about how to support children living with disabilities.","That's okay! You can always type ""Help"" if you want to learn more about how to support children living with disabilities.",text,
Step 1. Keep your child safe and well ,Step 1. Keep your child safe and well ,text,
"• Keep your country's COVID-19 rules, and also help your child to be active - do whatever exercise you can with them inside or outside your home","• Keep your country's COVID-19 rules, and also help your child to be active - do whatever exercise you can with them inside or outside your home",text,
• Keep emergency contact numbers somewhere easy to see,• Keep emergency contact numbers somewhere easy to see,text,
Step 2. Try to understand how they are feeling,Step 2. Try to understand how they are feeling,text,
"• Your child may be feeling a lot of stress, anxiety, and frustration.","• Your child may be feeling a lot of stress, anxiety, and frustration.",text,
• Tell them that you love them,• Tell them that you love them,text,
• Praise them for being good and for trying to be good! ,• Praise them for being good and for trying to be good! ,text,
Step 3. Talking and communicating with your child,Step 3. Talking and communicating with your child,text,
• Get down to your child’s level when you speak. ,• Get down to your child’s level when you speak. ,text,
• Look at them and smile,• Look at them and smile,text,
• Give them time to tell you or show you what they think,• Give them time to tell you or show you what they think,text,
• Tell your child that you understand,• Tell your child that you understand,text,
Here is a link to disability services in your area that may also be helpful: [INSERT LOCAL LINK],Here is a link to disability services in your area that may also be helpful: [INSERT LOCAL LINK],text,
Chat later!,Chat later!,text,
Step 4. Praise them!,Step 4. Praise them!,text,
"• Praise them for behaving well, and for trying. ","• Praise them for behaving well, and for trying. ",text,
"• Focus on what they can do, not what they can't.","• Focus on what they can do, not what they can't.",text,
• Only help children when they need it. It is also good to build independence!,• Only help children when they need it. It is also good to build independence!,text,
Step 5. Make daily plans to help them feel secure,Step 5. Make daily plans to help them feel secure,text,
• Having things that are the same each day helps children feel secure and safe.,• Having things that are the same each day helps children feel secure and safe.,text,
• Make a daily plan that includes some things they like to do.,• Make a daily plan that includes some things they like to do.,text,
"• Help your child connect to friends and family members through phone, writing cards, or drawing pictures.","• Help your child connect to friends and family members through phone, writing cards, or drawing pictures.",text,
Step 6. Ask for help if you can,Step 6. Ask for help if you can,text,
• Share the load with other adult family members.,• Share the load with other adult family members.,text,
•  You are not alone! Keep connected with people who understand your situation.,•  You are not alone! Keep connected with people who understand your situation.,text,
• Share your challenges AND your successes.,• Share your challenges AND your successes.,text,
"• It is normal to feel stressed, frustrated, and afraid at this time.","• It is normal to feel stressed, frustrated, and afraid at this time.",text,
• Be kind to yourself and take a break when you need to!,• Be kind to yourself and take a break when you need to!,text,
• Give your child choices: this gives them a sense of control and builds self-esteem.,• Give your child choices: this gives them a sense of control and builds self-esteem.,text,
"• Use simple language and clear instructions. If words aren't good for them, try gestures and pictures. ","• Use simple language and clear instructions. If words aren't good for them, try gestures and pictures. ",text,
Do you want to go back and learn more about how to support children living with disabilities?,Do you want to go back and learn more about how to support children living with disabilities?,text,
"Well done for adding another tool to your Parenting Toolkit! Children living with disabilities need love, respect and time – just like any other child.","Well done for adding another tool to your Parenting Toolkit! Children living with disabilities need love, respect and time – just like any other child.",text,
"Remember you can always type ""Help"" if you ever want more parenting tips or support. Chat later!","Remember you can always type ""Help"" if you ever want more parenting tips or support. Chat later!",text,
"COVID-19 has interrupted our children's education with school closures and remote learning. It is normal to feel overwhelmed about to do this alone, especially when we also have stress about work and money. ","COVID-19 has interrupted our children's education with school closures and remote learning. It is normal to feel overwhelmed about to do this alone, especially when we also have stress about work and money. ",text,
Would you like to learn more about how to support your children with remote learning and returning to school?,Would you like to learn more about how to support your children with remote learning and returning to school?,text,
Here are 5 steps that you can do to help your children continue learning during this time:,Here are 5 steps that you can do to help your children continue learning during this time:,text,
1. Create a routine around learning and schoolwork,1. Create a routine around learning and schoolwork,text,
2. Make learning fun and playful,2. Make learning fun and playful,text,
3. Remember that you are a parent NOT a substitute teacher ,3. Remember that you are a parent NOT a substitute teacher ,text,
4. Stay connected with your child's school and teachers,4. Stay connected with your child's school and teachers,text,
5. Support your child when they return to school,5. Support your child when they return to school,text,
"Type ""1"" to ""5"" to learn more about each tip. Type ""N"" to stop this tip.","Type ""1"" to ""5"" to learn more about each tip. Type ""N"" to stop this tip.",text,
Step 1. Create a routine around learning and schoolwork,Step 1. Create a routine around learning and schoolwork,text,
"Make a daily plan with your child for when they can spend time doing educational activities. This can include structured schoolwork and other activities online, reading, writing, or arts. Allow flexibility and time for play and relaxation too.","Make a daily plan with your child for when they can spend time doing educational activities. This can include structured schoolwork and other activities online, reading, writing, or arts. Allow flexibility and time for play and relaxation too.",text,
Step 2. Make learning fun and playful,Step 2. Make learning fun and playful,text,
"Children learn best when learning is fun! Try to find ways to make learning playful to keep your child interested and engaged. Type ""Help"" if you ever need any fun ideas!","Children learn best when learning is fun! Try to find ways to make learning playful to keep your child interested and engaged. Type ""Help"" if you ever need any fun ideas!",text,
Step 5. Support your child when they go back to school,Step 5. Support your child when they go back to school,text,
Tell your child that it is okay to feel scared or worried about going back to school. Allow your child to share how they are feeling. It is also normal if your child behaves different to their usual behaviour. Discuss how going to school might be different and how they can protect themselves from COVID-19. Ask them how their day went and support them if they experienced any difficulties.,Tell your child that it is okay to feel scared or worried about going back to school. Allow your child to share how they are feeling. It is also normal if your child behaves different to their usual behaviour. Discuss how going to school might be different and how they can protect themselves from COVID-19. Ask them how their day went and support them if they experienced any difficulties.,text,
Step 3. Remember that you are a parent NOT a substitute teacher! ,Step 3. Remember that you are a parent NOT a substitute teacher! ,text,
Your role is to support your child by creating a space to learn. You do not need to know all the answers. Help them explore their interests and ask questions. Go at your child's pace and be patient with yourself. ,Your role is to support your child by creating a space to learn. You do not need to know all the answers. Help them explore their interests and ask questions. Go at your child's pace and be patient with yourself. ,text,
Step 4. Stay connected with your child's school and teachers,Step 4. Stay connected with your child's school and teachers,text,
"Find out how to stay in touch with your children’s teacher or school to stay informed, ask questions and get more guidance. If you are struggling or know someone who is struggling with school work or the home situation, please discuss this with a teacher that you feel close to. Parent groups or community groups can also be a good way to support each other with your home schooling.","Find out how to stay in touch with your children’s teacher or school to stay informed, ask questions and get more guidance. If you are struggling or know someone who is struggling with school work or the home situation, please discuss this with a teacher that you feel close to. Parent groups or community groups can also be a good way to support each other with your home schooling.",text,
Do you want to go back and learn more about how to support your child's learning?,Do you want to go back and learn more about how to support your child's learning?,text,
Well done for adding another tool to your Parenting Toolkit! Helping your child continue learning during this difficult time is so important. Your best efforts will make a difference!,Well done for adding another tool to your Parenting Toolkit! Helping your child continue learning during this difficult time is so important. Your best efforts will make a difference!,text,
"When we are able to have peaceful and loving relationships, our children feel more secure and loved. Kindness and taking care of yourself help.","When we are able to have peaceful and loving relationships, our children feel more secure and loved. Kindness and taking care of yourself help.",text,
Here are 6 simple steps that you can do to support family harmony at home:,Here are 6 simple steps that you can do to support family harmony at home:,text,
1. Be a model of behaviour for your kids,1. Be a model of behaviour for your kids,text,
2. Keep it positive,2. Keep it positive,text,
3. Listen carefully to others,3. Listen carefully to others,text,
4. Share the loads,4. Share the loads,text,
5. Take care of yourself,5. Take care of yourself,text,
6. Do nice things together as a family.,6. Do nice things together as a family.,text,
"Type ""1"" to 6"" to learn more about these tips. Type ""N"" to stop this tip.","Type ""1"" to 6"" to learn more about these tips. Type ""N"" to stop this tip.",text,
Step 4. Share the load,Step 4. Share the load,text,
"Looking after children and other family members is difficult, but it’s much easier when responsibilities are shared. Try to share household chores, childcare, and other tasks equally amongst family members","Looking after children and other family members is difficult, but it’s much easier when responsibilities are shared. Try to share household chores, childcare, and other tasks equally amongst family members",text,
Step 5. Take care of yourself,Step 5. Take care of yourself,text,
Create a schedule for time “on” and time “off” with other adults in your household. It is okay to ask for help when you are feeling tired or stressed so that you can take a break,Create a schedule for time “on” and time “off” with other adults in your household. It is okay to ask for help when you are feeling tired or stressed so that you can take a break,text,
Step 6. Do nice things together as a family,Step 6. Do nice things together as a family,text,
"Let each family member take turns choosing a whole family activity. Find ways to spend time alone with other adults in your home, too!","Let each family member take turns choosing a whole family activity. Find ways to spend time alone with other adults in your home, too!",text,
Step 1. Be a model of behaviour for your kids,Step 1. Be a model of behaviour for your kids,text,
"How we talk and behave in front of our children is a big influence on how they behave too! Try to talk kindly to everyone in the family, adults and children.","How we talk and behave in front of our children is a big influence on how they behave too! Try to talk kindly to everyone in the family, adults and children.",text,
Step 2. Use positive language. It works!,Step 2. Use positive language. It works!,text,
"Tell others what you want them to do instead of what you don’t want them to do: Instead of “Stop shouting,” try “Please speak more quietly”","Tell others what you want them to do instead of what you don’t want them to do: Instead of “Stop shouting,” try “Please speak more quietly”",text,
Step 3. Be a great listener,Step 3. Be a great listener,text,
Listen to others when they are talking with you. Be open and show them that you hear what they are saying. It can help to summarise what you have heard before responding: “What I hear you saying is…”,Listen to others when they are talking with you. Be open and show them that you hear what they are saying. It can help to summarise what you have heard before responding: “What I hear you saying is…”,text,
"Decide to take a break from arguing when you see arguments building up, and go into another room or outside if you can.","Decide to take a break from arguing when you see arguments building up, and go into another room or outside if you can.",text,
"You can always type ""Help"" if you need an activity to help you with stress.","You can always type ""Help"" if you need an activity to help you with stress.",text,
"Praise others to make them feel appreciated and good about themselves. Simple words like, “Thank you for clearing the dinner,” or “Thank you for watching the baby” can make a big difference","Praise others to make them feel appreciated and good about themselves. Simple words like, “Thank you for clearing the dinner,” or “Thank you for watching the baby” can make a big difference",text,
"Bad communication between adults in the household can have a negative impact on our children. The more we practice modeling peaceful, loving relationships for our children, the more secure and loved they will feel.","Bad communication between adults in the household can have a negative impact on our children. The more we practice modeling peaceful, loving relationships for our children, the more secure and loved they will feel.",text,
Do you want to go back and learn more?,Do you want to go back and learn more?,text,
"Well done for adding another tool to your Parenting Toolkit! Every time you find a way to resolve conflicts in a peaceful way, you increase your child's brain development. Be proud of yourself when you do it!","Well done for adding another tool to your Parenting Toolkit! Every time you find a way to resolve conflicts in a peaceful way, you increase your child's brain development. Be proud of yourself when you do it!",text,
"We understand that these times can be really difficult. Please type ""Help"" if you want any extra support or guidance. Chat later!","We understand that these times can be really difficult. Please type ""Help"" if you want any extra support or guidance. Chat later!",text,
Our children and teens are now spending a lot more time online. Being connected helps them reduce the impact of COVID-19 and encourages them to continue with their lives…but it also presents risks and dangers.,Our children and teens are now spending a lot more time online. Being connected helps them reduce the impact of COVID-19 and encourages them to continue with their lives…but it also presents risks and dangers.,text,
Here are 6 tips that can help you keep your children safe online:,Here are 6 tips that can help you keep your children safe online:,text,
1. Learn about the risks and dangers,1. Learn about the risks and dangers,text,
2. Quick tech fixes,2. Quick tech fixes,text,
3. Create healthy and safe online habits,3. Create healthy and safe online habits,text,
4. Spend time with your child online,4. Spend time with your child online,text,
5. Build open communication,5. Build open communication,text,
6. Report and seek help,6. Report and seek help,text,
1. Learn about risks and dangers,1. Learn about risks and dangers,text,
"• Adults targeting children for sexual purposes on social media, gaming, and messaging platforms.","• Adults targeting children for sexual purposes on social media, gaming, and messaging platforms.",text,
"• Harmful content – like violence, hating women, hating foreigners, encouraging suicide and self-harm, misinformation, pornography","• Harmful content – like violence, hating women, hating foreigners, encouraging suicide and self-harm, misinformation, pornography",text,
• Teens sharing personal information and sexual photos or videos of themselves.,• Teens sharing personal information and sexual photos or videos of themselves.,text,
• Cyberbullying from other young people and strangers.,• Cyberbullying from other young people and strangers.,text,
2. Tech fixes to protect your children online:,2. Tech fixes to protect your children online:,text,
• Turn on SafeSearch on your browser to filter adult content.,• Turn on SafeSearch on your browser to filter adult content.,text,
https://www.internetmatters.org/blog/parental-controls/entertainment-search-engines/,https://www.internetmatters.org/blog/parental-controls/entertainment-search-engines/,text,
• Set up parental controls.,• Set up parental controls.,text,
https://www.internetmatters.org/parental-controls/,https://www.internetmatters.org/parental-controls/,text,
• Set up strict privacy settings on online apps and games.,• Set up strict privacy settings on online apps and games.,text,
 https://www.internetmatters.org/blog/parental-controls/social-media/, https://www.internetmatters.org/blog/parental-controls/social-media/,text,
• Cover webcams when not in use.,• Cover webcams when not in use.,text,
3. Create healthy and safe online habits:,3. Create healthy and safe online habits:,text,
Involve your teen in creating family tech agreements about healthy device use.,Involve your teen in creating family tech agreements about healthy device use.,text,
Create device-free spaces and times in your house,Create device-free spaces and times in your house,text,
"(eating, playing, schoolwork, and sleeping).","(eating, playing, schoolwork, and sleeping).",text,
Teen tech agreement: https://www.childnet.com/ufiles/Family-Agreement.pdf,Teen tech agreement: https://www.childnet.com/ufiles/Family-Agreement.pdf,text,
Involve your child in creating family tech agreements about healthy device use.,Involve your child in creating family tech agreements about healthy device use.,text,
Child tech agreement: https://www.esafety.gov.au/sites/default/files/2020-01/Our%20Family%20Tech%20Agreement_0.pdf,Child tech agreement: https://www.esafety.gov.au/sites/default/files/2020-01/Our%20Family%20Tech%20Agreement_0.pdf,text,
Involve your child or teen in creating family tech agreements about healthy device use.,Involve your child or teen in creating family tech agreements about healthy device use.,text,
This does not mean we should ban our children from spending time online. It just means that we need to learn how to protect them in a new world.,This does not mean we should ban our children from spending time online. It just means that we need to learn how to protect them in a new world.,text,
"Help your child learn how to keep personal information private, especially from strangers – some people are not who they say they are!","Help your child learn how to keep personal information private, especially from strangers – some people are not who they say they are!",text,
"Remind your children that what goes online stays online (messages, photos, and videos).","Remind your children that what goes online stays online (messages, photos, and videos).",text,
" Actively supervise children’s time online, including computers, smartphones, and tablets."," Actively supervise children’s time online, including computers, smartphones, and tablets.",text,
4. Spend time with your child or teen online,4. Spend time with your child or teen online,text,
Get to know how your child experiences the digital world.,Get to know how your child experiences the digital world.,text,
"Explore websites, social media, games, and apps together.","Explore websites, social media, games, and apps together.",text,
Talk to your teen on how to report things that aren't OK.,Talk to your teen on how to report things that aren't OK.,text,
"Common Sense Media has great advice for apps, games and entertainment for different ages.","Common Sense Media has great advice for apps, games and entertainment for different ages.",text,
https://www.commonsensemedia.org/app-reviews,https://www.commonsensemedia.org/app-reviews,text,
5. Build open communication and trusting relationships,5. Build open communication and trusting relationships,text,
"Tell your children that if they experience something online (or anywhere) that makes them feel upset, uncomfortable, or scared, they can talk to you and you will not get mad or punish them.","Tell your children that if they experience something online (or anywhere) that makes them feel upset, uncomfortable, or scared, they can talk to you and you will not get mad or punish them.",text,
INHOPE Hotlines and IWF portals and the Child Helpline in your country to get support if you or your children experience online violence or other things that are not acceptable.,INHOPE Hotlines and IWF portals and the Child Helpline in your country to get support if you or your children experience online violence or other things that are not acceptable.,text,
INHOPE Hotlines: https://www.inhope.org/EN#hotlineReferral,INHOPE Hotlines: https://www.inhope.org/EN#hotlineReferral,text,
IWF portals: https://report.iwf.org.uk/en,IWF portals: https://report.iwf.org.uk/en,text,
Child Helpline: https://www.childhelplineinternational.org/,Child Helpline: https://www.childhelplineinternational.org/,text,
Do you want to go back and learn about another way to protect your child online? ,Do you want to go back and learn about another way to protect your child online? ,text,
Well done! You have added another skill to your Parenting Toolkit! Digital parenting is just like parenting in the real world. You have taken a BIG STEP to keeping your child safe online. Good for you!,Well done! You have added another skill to your Parenting Toolkit! Digital parenting is just like parenting in the real world. You have taken a BIG STEP to keeping your child safe online. Good for you!,text,
We are now spending a lot more time online. Being connected helps reduce the impact of COVID-19 and encourages us to continue with our lives…but it also presents risks and dangers.,We are now spending a lot more time online. Being connected helps reduce the impact of COVID-19 and encourages us to continue with our lives…but it also presents risks and dangers.,text,
Here are 5 tips that can help you keep yourself safe online:,Here are 5 tips that can help you keep yourself safe online:,text,
4. Maintain privacy,4. Maintain privacy,text,
5. Report and seek help,5. Report and seek help,text,
"To learn more about one of these, type ""1"" to ""5"". You can also type ""N"" to stop this tip.","To learn more about one of these, type ""1"" to ""5"". You can also type ""N"" to stop this tip.",text,
"• Adults targeting people for sexual purposes on social media, gaming, and messaging platforms.","• Adults targeting people for sexual purposes on social media, gaming, and messaging platforms.",text,
• Sharing personal information and sexual photos or videos.,• Sharing personal information and sexual photos or videos.,text,
• Cyberbullying from other people and strangers.,• Cyberbullying from other people and strangers.,text,
Report to INHOPE Hotlines and IWF portals to get support if you experience online violence or other things that are not acceptable.,Report to INHOPE Hotlines and IWF portals to get support if you experience online violence or other things that are not acceptable.,text,
2. Quick tech fixes:,2. Quick tech fixes:,text,
"You can also create healthy and safe online habits like creating device-free spaces and times in your house (eating, playing, schoolwork, and sleeping).","You can also create healthy and safe online habits like creating device-free spaces and times in your house (eating, playing, schoolwork, and sleeping).",text,
"Keep personal information private, especially from strangers. – some people are not who they say they are!","Keep personal information private, especially from strangers. – some people are not who they say they are!",text,
"Remember that what goes online stays online (messages, photos, and videos).","Remember that what goes online stays online (messages, photos, and videos).",text,
Do you want to go back and learn about another way to protect yourself online?,Do you want to go back and learn about another way to protect yourself online?,text,
"Hi! Every child has challenging behaviour sometimes. If you would like some tips, type ""Help"".","Hi! Every child has challenging behaviour sometimes. If you would like some tips, type ""Help"".",text,
"Remember that One-on-One time, praise for being good, and consistent routines will also help reduce difficult behaviours.","Remember that One-on-One time, praise for being good, and consistent routines will also help reduce difficult behaviours.",text,
Hello! Today we are going to learn what we can do when our children are already misbehaving or have already misbehaved…,Hello! Today we are going to learn what we can do when our children are already misbehaving or have already misbehaved…,text,
We know that you have already received this tip (well done!). Would you like to review it again?,We know that you have already received this tip (well done!). Would you like to review it again?,text,
"Remember you can always type ""Help"" if you ever want more parenting tips or support.  You can also change the type of messages you receive for an older or younger child. Just select ""Technical Support"". Chat to you later!","Remember you can always type ""Help"" if you ever want more parenting tips or support.  You can also change the type of messages you receive for an older or younger child. Just select ""Technical Support"". Chat to you later!",text,
"Hello! Book-sharing can be a great learning for your child. You can use a simple pictures in books, magazines, or newspapers to do lots of things that you and your child can enjoy.","Hello! Book-sharing can be a great learning for your child. You can use a simple pictures in books, magazines, or newspapers to do lots of things that you and your child can enjoy.",text,
Would you like to learn more about how you can help your child develop through book sharing?,Would you like to learn more about how you can help your child develop through book sharing?,text,
We know that you have already received this tip (well done!). Would like to review them again?,We know that you have already received this tip (well done!). Would like to review them again?,text,
Today's Tip is about how we can support our teens when they experience really difficult situations. ,Today's Tip is about how we can support our teens when they experience really difficult situations. ,text,
"When our children share difficult experiences with us, we may initially get angry because we are afraid for them. But that is when we need to stay calm, listen, and be open.","When our children share difficult experiences with us, we may initially get angry because we are afraid for them. But that is when we need to stay calm, listen, and be open.",text,
Do you want some tips that can help you respond in a more supportive way?,Do you want some tips that can help you respond in a more supportive way?,text,
"Remember that you can also change the type of messages you receive for an older or younger child. Just select ""Technical Support."" Chat to you later!","Remember that you can also change the type of messages you receive for an older or younger child. Just select ""Technical Support."" Chat to you later!",text,
"Today's Tip is about how we can support our children when they are feeling sad, scared, angry, and confused.","Today's Tip is about how we can support our children when they are feeling sad, scared, angry, and confused.",text,
"Remember that you can also change the type of messages you receive for an older or younger child. Just select ""Tech Support"". Chat to you later!","Remember that you can also change the type of messages you receive for an older or younger child. Just select ""Tech Support"". Chat to you later!",text,
"When we are able to have peaceful and loving relationships, our children feel more secure and loved. Today's tip is about how we can support positive family relationships at home.","When we are able to have peaceful and loving relationships, our children feel more secure and loved. Today's tip is about how we can support positive family relationships at home.",text,
Hi! I just wanted to thank you for making this commitment to improve the life of your children. It shows you really care!,Hi! I just wanted to thank you for making this commitment to improve the life of your children. It shows you really care!,text,
"Today's Parenting Tip is all about Praise. How did the above message make you feel? We all appreciate it when the good things we do are recognised by others, especially when it is someone who is close to us.","Today's Parenting Tip is all about Praise. How did the above message make you feel? We all appreciate it when the good things we do are recognised by others, especially when it is someone who is close to us.",text,
Do you want to learn 3 steps to get it right?,Do you want to learn 3 steps to get it right?,text,
Hello! A lot of parents struggle when their children have temper tantrums and other demanding behaviours. Today's tip is about how to make this more manageable.,Hello! A lot of parents struggle when their children have temper tantrums and other demanding behaviours. Today's tip is about how to make this more manageable.,text,
"Remember that you can also change the type of messages you receive for an older or younger child. Just select ""Tech Support"".  Chat to you later!","Remember that you can also change the type of messages you receive for an older or younger child. Just select ""Tech Support"".  Chat to you later!",text,
It‘s hard to feel positive when our kids or teenagers are driving us crazy. We often end up saying “Stop doing that!” But children are much more likely to do what we ask if we give them positive instructions and lots of praise for what they do right. ,It‘s hard to feel positive when our kids or teenagers are driving us crazy. We often end up saying “Stop doing that!” But children are much more likely to do what we ask if we give them positive instructions and lots of praise for what they do right. ,text,
Here are 4 steps to help you get your children to follow your instructions more often:,Here are 4 steps to help you get your children to follow your instructions more often:,text,
1. Get their attention,1. Get their attention,text,
"2. Be positive, specific, and realistic","2. Be positive, specific, and realistic",text,
3. One instruction at a time,3. One instruction at a time,text,
4. Praise them for doing it! ,4. Praise them for doing it! ,text,
"To learn more about one of these steps, type ""1"" to ""4"". You can also type ""N"" to stop this tip.","To learn more about one of these steps, type ""1"" to ""4"". You can also type ""N"" to stop this tip.",text,
Step 1. Get Your Child's Attention,Step 1. Get Your Child's Attention,text,
Look at your child and say their name when you give your child an instruction. Get down to their level.,Look at your child and say their name when you give your child an instruction. Get down to their level.,text,
"Step 2. Be Specific, Positive, and Realistic!","Step 2. Be Specific, Positive, and Realistic!",text,
"Describe exactly what you want your child to do. Say, 'Please wash your hands for 20 seconds before coming to dinner, instead of 'Wash your hands.'","Describe exactly what you want your child to do. Say, 'Please wash your hands for 20 seconds before coming to dinner, instead of 'Wash your hands.'",text,
Step 3. Give Instructions One at a Time,Step 3. Give Instructions One at a Time,text,
Children are much more likely to do what you ask if you break things up into smaller steps.,Children are much more likely to do what you ask if you break things up into smaller steps.,text,
"Use positive words when telling your child what to do. Say, ‘Please put your clothes away in the cupboard,’ instead of ‘Don’t make a mess’.","Use positive words when telling your child what to do. Say, ‘Please put your clothes away in the cupboard,’ instead of ‘Don’t make a mess’.",text,
Step 4. Praise Your Children When They Follow Instructions,Step 4. Praise Your Children When They Follow Instructions,text,
They will feel good about it and be more likely to follow instructions in the future!,They will feel good about it and be more likely to follow instructions in the future!,text,
Can your child actually do what you are asking them? It is very hard for a child to keep quiet inside for a whole day but maybe they can keep quiet for 15 minutes.,Can your child actually do what you are asking them? It is very hard for a child to keep quiet inside for a whole day but maybe they can keep quiet for 15 minutes.,text,
Do you want to go back and learn more about how to get your children to follow instructions more often?,Do you want to go back and learn more about how to get your children to follow instructions more often?,text,
Well done! You have added another tool to your Parenting Toolkit. In summary…,Well done! You have added another tool to your Parenting Toolkit. In summary…,text,
It will make a HUGE DIFFERENCE if you can learn these 4 simple steps!,It will make a HUGE DIFFERENCE if you can learn these 4 simple steps!,text,
"Remember you can always type ""Help"" if you ever want more parenting tips or support. You can also change the type of messages you receive for an older or younger child. Just select ""Technical Support."" Chat to you later!","Remember you can always type ""Help"" if you ever want more parenting tips or support. You can also change the type of messages you receive for an older or younger child. Just select ""Technical Support."" Chat to you later!",text,
